# koid	org	name	op	pmid	definition	source
KO01180	Caenorhabditis elegans (nematode)	cel_CEOP3008	CELE_C29F9.3,CELE_C29F9.4	12075352		
KO01181	Caenorhabditis elegans (nematode)	cel_CEOP3012	CELE_C29F9.1,CELE_T17A3.2	12075352		
KO01182	Caenorhabditis elegans (nematode)	cel_CEOP3016	CELE_F40G9.3,CELE_F40G9.1,CELE_F40G9.2	12075352		
KO01183	Caenorhabditis elegans (nematode)	cel_CEOP3020	CELE_Y50D7A.3,CELE_Y50D7A.4	12075352		
KO01184	Caenorhabditis elegans (nematode)	cel_CEOP3022	CELE_Y50D7A.1,CELE_Y50D7A.10	12075352		
KO01185	Caenorhabditis elegans (nematode)	cel_CEOP3023	CELE_W07B3.2,CELE_Y50D7A.8	12075352		
KO01186	Caenorhabditis elegans (nematode)	cel_CEOP3024	CELE_F10C5.1,CELE_F10C5.2	12075352		
KO01187	Caenorhabditis elegans (nematode)	cel_CEOP3028	CELE_W06E11.4,CELE_W06E11.5	12075352		
KO01188	Caenorhabditis elegans (nematode)	cel_CEOP3034	CELE_F42G9.5,CELE_F42G9.6	12075352		
KO01189	Caenorhabditis elegans (nematode)	cel_CEOP3036	CELE_B0412.4,CELE_B0412.3	12075352		
KO01190	Caenorhabditis elegans (nematode)	cel_CEOP3040	CELE_K02F3.11,CELE_K02F3.10	12075352		
KO01191	Caenorhabditis elegans (nematode)	cel_CEOP3044	CELE_Y6D11A.1,CELE_K02F3.12,CELE_Y6D11A.2	12075352		
KO01192	Caenorhabditis elegans (nematode)	cel_CEOP3048	CELE_F23H11.5,CELE_F23H11.3,CELE_F23H11.4,CELE_F23H11.9	12075352		
KO01193	Caenorhabditis elegans (nematode)	cel_CEOP3052	CELE_Y92C3B.3,CELE_Y92C3B.2	12075352		
KO01194	Caenorhabditis elegans (nematode)	cel_CEOP3056	CELE_F58B6.3,CELE_Y92C3B.1	12075352		
KO01195	Caenorhabditis elegans (nematode)	cel_CEOP3060	CELE_Y119D3B.14,CELE_Y119D3B.15,CELE_Y119D3B.16	12075352		
KO01196	Caenorhabditis elegans (nematode)	cel_CEOP3061	CELE_Y82E9BR.15,CELE_Y82E9BR.14	12075352		
KO01197	Caenorhabditis elegans (nematode)	cel_CEOP3062	CELE_M01G5.5,CELE_M01G5.3	12075352		
KO01198	Caenorhabditis elegans (nematode)	cel_CEOP3063	CELE_Y82E9BR.8,CELE_Y82E9BR.9	12075352		
KO01199	Caenorhabditis elegans (nematode)	cel_CEOP3064	CELE_Y22D7AL.7,CELE_Y67D2.1,CELE_Y67D2.2	12075352		
KO01200	Caenorhabditis elegans (nematode)	cel_CEOP3068	CELE_Y39A3CL.1,CELE_Y39A3CL.7	12075352		
KO01201	Caenorhabditis elegans (nematode)	cel_CEOP3072	CELE_Y39A3CR.4,CELE_Y39A3CR.1,CELE_Y39A3CR.3	12075352		
KO01202	Caenorhabditis elegans (nematode)	cel_CEOP3075	CELE_H04J21.3,CELE_Y54F10BM.14	12075352		
KO01203	Caenorhabditis elegans (nematode)	cel_CEOP3076	CELE_W04B5.4,CELE_W04B5.5	12075352		
KO01204	Caenorhabditis elegans (nematode)	cel_CEOP3078	CELE_Y54F10AM.4,CELE_Y54F10AM.5	12075352		
KO01205	Caenorhabditis elegans (nematode)	cel_CEOP3080	CELE_Y71H2B.6,CELE_Y71H2B.4,CELE_Y71H2B.5,CELE_Y71H2B.11	12075352		
KO01206	Caenorhabditis elegans (nematode)	cel_CEOP3084	CELE_Y71H2AM.4,CELE_Y71H2AM.5,CELE_Y71H2AM.24	12075352		
KO01207	Caenorhabditis elegans (nematode)	cel_CEOP3086	CELE_Y71H2AM.1,CELE_Y71H2AM.2,CELE_Y71H2AR.1,CELE_Y71H2AR.3	12075352		
KO01208	Caenorhabditis elegans (nematode)	cel_CEOP3088	CELE_H06I04.4,CELE_H06I04.3	12075352		
KO01209	Caenorhabditis elegans (nematode)	cel_CEOP3092	CELE_H06I04.2,CELE_H06I04.1	12075352		
KO01210	Caenorhabditis elegans (nematode)	cel_CEOP3100	CELE_R148.2,CELE_R148.3	12075352		
KO01211	Caenorhabditis elegans (nematode)	cel_CEOP3104	CELE_Y53G8AR.5,CELE_Y53G8AR.6	12075352		
KO01212	Caenorhabditis elegans (nematode)	cel_CEOP3108	CELE_F59A2.3,CELE_F59A2.4	12075352		
KO01213	Caenorhabditis elegans (nematode)	cel_CEOP3110	CELE_F59A2.6,CELE_K01A11.2	12075352		
KO01214	Caenorhabditis elegans (nematode)	cel_CEOP3112	CELE_F59A2.2,CELE_F59A2.5	12075352		
KO01215	Caenorhabditis elegans (nematode)	cel_CEOP3120	CELE_C34C12.3,CELE_C34C12.8	12075352		
KO01216	Caenorhabditis elegans (nematode)	cel_CEOP3124	CELE_M01F1.2,CELE_M01F1.3,CELE_M01F1.4,CELE_M01F1.8,CELE_M01F1.9	12075352		
KO01217	Caenorhabditis elegans (nematode)	cel_CEOP3128	CELE_C46F11.4,CELE_C46F11.5	12075352		
KO01218	Caenorhabditis elegans (nematode)	cel_CEOP3132	CELE_T27D1.1,CELE_C14B1.1	12075352		
KO01219	Caenorhabditis elegans (nematode)	cel_CEOP3136	CELE_C14B1.4,CELE_C14B1.5,CELE_C14B1.6,CELE_C14B1.10	12075352		
KO01221	Caenorhabditis elegans (nematode)	cel_CEOP3144	CELE_ZK1058.3,CELE_ZK1058.4	12075352		
KO01222	Caenorhabditis elegans (nematode)	cel_CEOP3148	CELE_T02C12.2,CELE_T02C12.3	12075352		
KO01223	Caenorhabditis elegans (nematode)	cel_CEOP3152	CELE_C16C10.10,CELE_C16C10.11	12075352		
KO01224	Caenorhabditis elegans (nematode)	cel_CEOP3156	CELE_C16C10.7,CELE_C16C10.5,CELE_C16C10.6,CELE_C16C10.8	12075352		
KO01225	Caenorhabditis elegans (nematode)	cel_CEOP3160	CELE_R74.1,CELE_C16C10.1,CELE_C16C10.2	12075352		
KO01226	Caenorhabditis elegans (nematode)	cel_CEOP3164	CELE_F43C1.3,CELE_T08A11.1,CELE_T08A11.2,CELE_Y44F5A.1,CELE_F43C1.6	12075352		
KO01227	Caenorhabditis elegans (nematode)	cel_CEOP3168	CELE_H38K22.1,CELE_R10E4.9	12075352		
KO01228	Caenorhabditis elegans (nematode)	cel_CEOP3172	CELE_H38K22.3,CELE_H38K22.2	12075352		
KO01229	Caenorhabditis elegans (nematode)	cel_CEOP3174	CELE_B0285.5,CELE_B0285.4	12075352		
KO01230	Caenorhabditis elegans (nematode)	cel_CEOP3176	CELE_B0285.8,CELE_B0285.9	12075352		
KO01231	Caenorhabditis elegans (nematode)	cel_CEOP3180	CELE_R07E5.4,CELE_R07E5.5	12075352		
KO01232	Caenorhabditis elegans (nematode)	cel_CEOP3184	CELE_R07E5.14,CELE_R07E5.1,CELE_R07E5.2,CELE_R07E5.3,CELE_R07E5.13	12075352		
KO01233	Caenorhabditis elegans (nematode)	cel_CEOP3188	CELE_R07E5.7,CELE_R07E5.10	12075352		
KO01234	Caenorhabditis elegans (nematode)	cel_CEOP3192	CELE_C07G2.2,CELE_C07G2.3	12075352		
KO01235	Caenorhabditis elegans (nematode)	cel_CEOP3196	CELE_F35G12.4,CELE_F35G12.5,CELE_F35G12.12	12075352		
KO01236	Caenorhabditis elegans (nematode)	cel_CEOP3200	CELE_F35G12.8,CELE_F35G12.11	12075352		
KO01237	Caenorhabditis elegans (nematode)	cel_CEOP3204	CELE_F35G12.9,CELE_F35G12.10,CELE_F10F2.1	12075352		
KO01238	Caenorhabditis elegans (nematode)	cel_CEOP3208	CELE_T04A8.9,CELE_T04A8.7,CELE_T04A8.8	12075352		
KO01239	Caenorhabditis elegans (nematode)	cel_CEOP3212	CELE_T04A8.12,CELE_T04A8.11	12075352		
KO01240	Caenorhabditis elegans (nematode)	cel_CEOP3216	CELE_T04A8.14,CELE_T04A8.15	12075352		
KO01241	Caenorhabditis elegans (nematode)	cel_CEOP3220	CELE_C38D4.5,CELE_C38D4.9	12075352		
KO01242	Caenorhabditis elegans (nematode)	cel_CEOP3224	CELE_C35D10.9,CELE_C35D10.6,CELE_C35D10.7,CELE_C35D10.8,CELE_F26A1.1	12075352		
KO01243	Caenorhabditis elegans (nematode)	cel_CEOP3226	CELE_C35D10.4,CELE_C35D10.17	12075352		
KO01244	Caenorhabditis elegans (nematode)	cel_CEOP3228	CELE_C35D10.16,CELE_C35D10.1	12075352		
KO01245	Caenorhabditis elegans (nematode)	cel_CEOP3232	CELE_F26F4.7,CELE_F26F4.5,CELE_F26F4.6	12075352		
KO01246	Caenorhabditis elegans (nematode)	cel_CEOP3236	CELE_F26F4.9,CELE_F26F4.12	12075352		
KO01247	Caenorhabditis elegans (nematode)	cel_CEOP3240	CELE_F26F4.10,CELE_C26E6.9,CELE_C26E6.8,CELE_C26E6.11,CELE_F26F4.11	12075352		
KO01248	Caenorhabditis elegans (nematode)	cel_CEOP3244	CELE_C26E6.5,CELE_C26E6.3,CELE_C26E6.4,CELE_C26E6.6,CELE_C26E6.7	12075352		
KO01249	Caenorhabditis elegans (nematode)	cel_CEOP3248	CELE_F53A3.3,CELE_C27F2.4,CELE_C27F2.5,CELE_C27F2.9	12075352		
KO01250	Caenorhabditis elegans (nematode)	cel_CEOP3252	CELE_R144.6,CELE_R144.7,CELE_R144.11,CELE_R144.12	12075352		
KO01251	Caenorhabditis elegans (nematode)	cel_CEOP3256	CELE_R144.9,CELE_R144.3,CELE_R144.4	12075352		
KO01252	Caenorhabditis elegans (nematode)	cel_CEOP3259	CELE_Y54H5A.2,CELE_Y54H5A.3	12075352		
KO01254	Caenorhabditis elegans (nematode)	cel_CEOP3264	CELE_K10D2.3,CELE_K10D2.4,CELE_K10D2.5	12075352		
KO01255	Caenorhabditis elegans (nematode)	cel_CEOP3268	CELE_C34E10.6,CELE_C34E10.4,CELE_C34E10.5,CELE_C34E10.11	12075352		
KO01256	Caenorhabditis elegans (nematode)	cel_CEOP3272	CELE_C34E10.3,CELE_C34E10.2,CELE_C34E10.1,CELE_ZC395.6,CELE_ZC395.7	12075352		
KO01257	Caenorhabditis elegans (nematode)	cel_CEOP3276	CELE_ZC395.8,CELE_ZC395.10	12075352		
KO01258	Caenorhabditis elegans (nematode)	cel_CEOP3280	CELE_ZC395.2,CELE_ZC395.3	12075352		
KO01259	Caenorhabditis elegans (nematode)	cel_CEOP3284	CELE_F52C9.8,CELE_F52C9.1,CELE_F52C9.3,CELE_F52C9.7	12075352		
KO01260	Caenorhabditis elegans (nematode)	cel_CEOP3292	CELE_Y32H12A.2,CELE_ZK121.1	12075352		
KO01261	Caenorhabditis elegans (nematode)	cel_CEOP3296	CELE_Y32H12A.6,CELE_Y32H12A.7,CELE_Y32H12A.8	12075352		
KO01263	Caenorhabditis elegans (nematode)	cel_CEOP3304	CELE_F48E8.5,CELE_F48E8.2,CELE_F48E8.3,CELE_F48E8.4	12075352		
KO01264	Caenorhabditis elegans (nematode)	cel_CEOP3308	CELE_F09F7.3,CELE_F09F7.4	12075352		
KO01265	Caenorhabditis elegans (nematode)	cel_CEOP3310	CELE_F56D2.7,CELE_F56D2.1	12075352		
KO01266	Caenorhabditis elegans (nematode)	cel_CEOP3312	CELE_C05D2.6,CELE_C05D2.10	12075352		
KO01267	Caenorhabditis elegans (nematode)	cel_CEOP3314	CELE_F54E7.8,CELE_F54E7.9	12075352		
KO01268	Caenorhabditis elegans (nematode)	cel_CEOP3316	CELE_F54E7.2,CELE_F54E7.1	12075352		
KO01269	Caenorhabditis elegans (nematode)	cel_CEOP3320	CELE_B0336.5,CELE_B0336.13	12075352		
KO01270	Caenorhabditis elegans (nematode)	cel_CEOP3324	CELE_B0336.8,CELE_B0336.7	12075352		
KO01271	Caenorhabditis elegans (nematode)	cel_CEOP3328	CELE_B0336.10,CELE_B0336.9	12075352		
KO01272	Caenorhabditis elegans (nematode)	cel_CEOP3332	CELE_B0336.2,CELE_B0336.3	12075352		
KO01273	Caenorhabditis elegans (nematode)	cel_CEOP3336	CELE_F01F1.8,CELE_F01F1.7	12075352		
KO01274	Caenorhabditis elegans (nematode)	cel_CEOP3340	CELE_F01F1.6,CELE_F01F1.5	12075352		
KO01275	Caenorhabditis elegans (nematode)	cel_CEOP3344	CELE_F01F1.10,CELE_F01F1.11,CELE_F01F1.15	12075352		
KO01276	Caenorhabditis elegans (nematode)	cel_CEOP3348	CELE_F01F1.1,CELE_F01F1.2	12075352		
KO01277	Caenorhabditis elegans (nematode)	cel_CEOP3350	CELE_C28H8.3,CELE_C28H8.4	12075352		
KO01278	Caenorhabditis elegans (nematode)	cel_CEOP3352	CELE_F25B5.5,CELE_F25B5.6	12075352		
KO01279	Caenorhabditis elegans (nematode)	cel_CEOP3356	CELE_C23G10.3,CELE_C23G10.2	12075352		
KO01280	Caenorhabditis elegans (nematode)	cel_CEOP3360	CELE_T12A2.7,CELE_T12A2.8	12075352		
KO01281	Caenorhabditis elegans (nematode)	cel_CEOP3364	CELE_C16A3.7,CELE_C16A3.4,CELE_C16A3.5,CELE_C16A3.6	12075352		
KO01282	Caenorhabditis elegans (nematode)	cel_CEOP3368	CELE_C16A3.3,CELE_C16A3.1,CELE_C16A3.2	12075352		
KO01283	Caenorhabditis elegans (nematode)	cel_CEOP3372	CELE_C05D11.8,CELE_C05D11.9,CELE_C05D11.10	12075352		
KO01284	Caenorhabditis elegans (nematode)	cel_CEOP3376	CELE_C05D11.3,CELE_C05D11.2,CELE_C05D11.1	12075352		
KO01285	Caenorhabditis elegans (nematode)	cel_CEOP3384	CELE_C05D11.12,CELE_T26A5.7,CELE_T26A5.6	12075352		
KO01286	Caenorhabditis elegans (nematode)	cel_CEOP3388	CELE_T26A5.4,CELE_T26A5.5	12075352		
KO01287	Caenorhabditis elegans (nematode)	cel_CEOP3390	CELE_T26A5.3,CELE_T26A5.2	12075352		
KO01288	Caenorhabditis elegans (nematode)	cel_CEOP3392	CELE_F20H11.2,CELE_F20H11.1,CELE_F20H11.6	12075352		
KO01289	Caenorhabditis elegans (nematode)	cel_CEOP3396	CELE_C13B9.2,CELE_Y40D12A.1	12075352		
KO01290	Caenorhabditis elegans (nematode)	cel_CEOP3400	CELE_F37A4.1,CELE_F37A4.2,CELE_Y102E9.2	12075352		
KO01291	Caenorhabditis elegans (nematode)	cel_CEOP3404	CELE_F57B9.5,CELE_F57B9.4,CELE_F57B9.6	12075352		
KO01292	Caenorhabditis elegans (nematode)	cel_CEOP3408	CELE_ZK418.4,CELE_ZK418.5	12075352		
KO01293	Caenorhabditis elegans (nematode)	cel_CEOP3412	CELE_K04G7.10,CELE_K04G7.4,CELE_K04G7.11	12075352		
KO01294	Caenorhabditis elegans (nematode)	cel_CEOP3416	CELE_F37C12.4,CELE_F37C12.1,CELE_F37C12.2,CELE_F37C12.3	12075352		
KO01295	Caenorhabditis elegans (nematode)	cel_CEOP3420	CELE_F37C12.13,CELE_R151.9	12075352		
KO01297	Caenorhabditis elegans (nematode)	cel_CEOP3425	CELE_F56C9.10,CELE_F56C9.11	12075352		
KO01298	Caenorhabditis elegans (nematode)	cel_CEOP3426	CELE_B0361.7,CELE_B0361.8,CELE_B0361.10	12075352		
KO01299	Caenorhabditis elegans (nematode)	cel_CEOP3428	CELE_F08F8.4,CELE_F08F8.7,CELE_F08F8.8,CELE_F08F8.9,CELE_F08F8.10	12075352		
KO01300	Caenorhabditis elegans (nematode)	cel_CEOP3432	CELE_T20B12.8,CELE_T20B12.7	12075352		
KO01301	Caenorhabditis elegans (nematode)	cel_CEOP3436	CELE_T20B12.2,CELE_T20B12.1,CELE_T20B12.3	12075352		
KO01302	Caenorhabditis elegans (nematode)	cel_CEOP3440	CELE_H14A12.2,CELE_H14A12.3	12075352		
KO01303	Caenorhabditis elegans (nematode)	cel_CEOP3444	CELE_C07H6.6,CELE_C07H6.8	12075352		
KO01304	Caenorhabditis elegans (nematode)	cel_CEOP3448	CELE_ZC97.1,CELE_ZK686.2	12075352		
KO01305	Caenorhabditis elegans (nematode)	cel_CEOP3452	CELE_ZK686.3,CELE_ZK686.4	12075352		
KO01306	Caenorhabditis elegans (nematode)	cel_CEOP3456	CELE_ZK652.9,CELE_ZK652.10	12075352		
KO01307	Caenorhabditis elegans (nematode)	cel_CEOP3460	CELE_ZK652.2,CELE_ZK652.3	12075352		
KO01308	Caenorhabditis elegans (nematode)	cel_CEOP3462	CELE_ZK688.5,CELE_ZK688.9,CELE_ZK688.11	12075352		
KO01309	Caenorhabditis elegans (nematode)	cel_CEOP3464	CELE_ZK688.8,CELE_C29E4.5	12075352		
KO01310	Caenorhabditis elegans (nematode)	cel_CEOP3465	CELE_C29E4.4,CELE_C29E4.3,CELE_C29E4.10	12075352		
KO01311	Caenorhabditis elegans (nematode)	cel_CEOP3466	CELE_C29E4.2,CELE_C29E4.12	12075352		
KO01312	Caenorhabditis elegans (nematode)	cel_CEOP3468	CELE_F44B9.6,CELE_F44B9.5	12075352		
KO01313	Caenorhabditis elegans (nematode)	cel_CEOP3472	CELE_F44B9.7,CELE_F44B9.8	12075352		
KO01314	Caenorhabditis elegans (nematode)	cel_CEOP3476	CELE_K12H4.2,CELE_K12H4.3,CELE_K12H4.4,CELE_K12H4.5	12075352		
KO01315	Caenorhabditis elegans (nematode)	cel_CEOP3480	CELE_K06H7.4,CELE_K06H7.3,CELE_K06H7.9	12075352		
KO01316	Caenorhabditis elegans (nematode)	cel_CEOP3484	CELE_C50C3.7,CELE_C50C3.8	12075352		
KO01318	Caenorhabditis elegans (nematode)	cel_CEOP3496	CELE_C02F5.3,CELE_C02F5.4	12075352		
KO01319	Caenorhabditis elegans (nematode)	cel_CEOP3500	CELE_F10E9.2,CELE_F10E9.3,CELE_F10E9.4,CELE_F10E9.5	12075352		
KO01320	Caenorhabditis elegans (nematode)	cel_CEOP3504	CELE_F10E9.8,CELE_F10E9.11	12075352		
KO01321	Caenorhabditis elegans (nematode)	cel_CEOP3508	CELE_ZC262.3,CELE_ZC262.8	12075352		
KO01322	Caenorhabditis elegans (nematode)	cel_CEOP3512	CELE_R05D3.7,CELE_R05D3.6	12075352		
KO01324	Caenorhabditis elegans (nematode)	cel_CEOP3520	CELE_ZK353.6,CELE_ZK353.7,CELE_ZK353.8	12075352		
KO01325	Caenorhabditis elegans (nematode)	cel_CEOP3522	CELE_ZK353.1,CELE_ZK353.9	12075352		
KO01326	Caenorhabditis elegans (nematode)	cel_CEOP3524	CELE_ZK1236.6,CELE_C30C11.4,CELE_ZK1236.7	12075352		
KO01327	Caenorhabditis elegans (nematode)	cel_CEOP3528	CELE_C30C11.2,CELE_C30C11.1	12075352		
KO01328	Caenorhabditis elegans (nematode)	cel_CEOP3532	CELE_C06E1.9,CELE_C06E1.10	12075352		
KO01329	Caenorhabditis elegans (nematode)	cel_CEOP3538	CELE_B0303.15,CELE_ZK370.3	12075352		
KO01330	Caenorhabditis elegans (nematode)	cel_CEOP3539	CELE_ZK370.7,CELE_ZK370.8	12075352		
KO01331	Caenorhabditis elegans (nematode)	cel_CEOP3540	CELE_K02D10.1,CELE_K02D10.5,CELE_PAR2.1	12075352		
KO01332	Caenorhabditis elegans (nematode)	cel_CEOP3544	CELE_F44E2.3,CELE_F44E2.10,CELE_F54F2.9	12075352		
KO01333	Caenorhabditis elegans (nematode)	cel_CEOP3548	CELE_F44E2.6,CELE_F44E2.7,CELE_F44E2.8,CELE_F44E2.9	12075352		
KO01334	Caenorhabditis elegans (nematode)	cel_CEOP3552	CELE_ZK637.2,CELE_ZK637.3,CELE_ZK637.4,CELE_ZK637.5	12075352		
KO01335	Caenorhabditis elegans (nematode)	cel_CEOP3556	CELE_ZK637.8,CELE_ZK637.9,CELE_ZK637.10	12075352		
KO01336	Caenorhabditis elegans (nematode)	cel_CEOP3560	CELE_R08D7.4,CELE_R08D7.5	12075352		
KO01337	Caenorhabditis elegans (nematode)	cel_CEOP3564	CELE_F59B2.2,CELE_F59B2.3,CELE_F59B2.5	12075352		
KO01338	Caenorhabditis elegans (nematode)	cel_CEOP3568	CELE_R107.2,CELE_R107.4,CELE_R107.5	12075352		
KO01339	Caenorhabditis elegans (nematode)	cel_CEOP3572	CELE_R107.6,CELE_R107.7	12075352		
KO01340	Caenorhabditis elegans (nematode)	cel_CEOP3574	CELE_K04H4.1,CELE_K04H4.2	12075352		
KO01341	Caenorhabditis elegans (nematode)	cel_CEOP3576	CELE_C38C10.4,CELE_C38C10.2	12075352		
KO01342	Caenorhabditis elegans (nematode)	cel_CEOP3580	CELE_F54C8.3,CELE_F54C8.4	12075352		
KO01343	Caenorhabditis elegans (nematode)	cel_CEOP3584	CELE_F54C8.5,CELE_F54C8.7	12075352		
KO01344	Caenorhabditis elegans (nematode)	cel_CEOP3588	CELE_B0464.7,CELE_B0464.8,CELE_B0464.9	12075352		
KO01345	Caenorhabditis elegans (nematode)	cel_CEOP3592	CELE_F55H2.6,CELE_F55H2.7	12075352		
KO01346	Caenorhabditis elegans (nematode)	cel_CEOP3596	CELE_ZK1098.1,CELE_ZK1098.5	12075352		
KO01347	Caenorhabditis elegans (nematode)	cel_CEOP3600	CELE_C48B4.6,CELE_C48B4.7	12075352		
KO01348	Caenorhabditis elegans (nematode)	cel_CEOP3604	CELE_C48B4.9,CELE_C48B4.10,CELE_C48B4.11	12075352		
KO01349	Caenorhabditis elegans (nematode)	cel_CEOP3608	CELE_F58A4.8,CELE_F58A4.10,CELE_F58A4.9	12075352		
KO01350	Caenorhabditis elegans (nematode)	cel_CEOP3612	CELE_C07A9.2,CELE_C07A9.7	12075352		
KO01351	Caenorhabditis elegans (nematode)	cel_CEOP3614	CELE_C07A9.5,CELE_C07A9.6,CELE_C07A9.13	12075352		
KO01352	Caenorhabditis elegans (nematode)	cel_CEOP3616	CELE_T05G5.6,CELE_T05G5.8,CELE_T05G5.9	12075352		
KO01353	Caenorhabditis elegans (nematode)	cel_CEOP3620	CELE_R10E11.8,CELE_R10E11.2,CELE_R10E11.6	12075352		
KO01354	Caenorhabditis elegans (nematode)	cel_CEOP3624	CELE_ZK632.1,CELE_ZK632.2	12075352		
KO01355	Caenorhabditis elegans (nematode)	cel_CEOP3628	CELE_ZK632.3,CELE_ZK632.4	12075352		
KO01356	Caenorhabditis elegans (nematode)	cel_CEOP3632	CELE_ZK632.8,CELE_ZK632.7	12075352		
KO01357	Caenorhabditis elegans (nematode)	cel_CEOP3636	CELE_ZK632.13,CELE_ZK632.9,CELE_ZK632.10	12075352		
KO01358	Caenorhabditis elegans (nematode)	cel_CEOP3640	CELE_ZK632.11,CELE_ZK632.12	12075352		
KO01359	Caenorhabditis elegans (nematode)	cel_CEOP3642	CELE_K03H1.2,CELE_K03H1.11	12075352		
KO01360	Caenorhabditis elegans (nematode)	cel_CEOP3644	CELE_T16G12.5,CELE_T16G12.6	12075352		
KO01361	Caenorhabditis elegans (nematode)	cel_CEOP3648	CELE_T16H12.1,CELE_T16H12.2	12075352		
KO01362	Caenorhabditis elegans (nematode)	cel_CEOP3652	CELE_T16H12.4,CELE_T16H12.5,CELE_T16H12.11	12075352		
KO01363	Caenorhabditis elegans (nematode)	cel_CEOP3656	CELE_ZK1128.1,CELE_ZK1128.8	12075352		
KO01364	Caenorhabditis elegans (nematode)	cel_CEOP3657	CELE_ZK1128.6,CELE_ZK1128.5	12075352		
KO01365	Caenorhabditis elegans (nematode)	cel_CEOP3660	CELE_T20G5.2,CELE_T20G5.11	12075352		
KO01366	Caenorhabditis elegans (nematode)	cel_CEOP3664	CELE_R01H10.5,CELE_R01H10.6	12075352		
KO01367	Caenorhabditis elegans (nematode)	cel_CEOP3666	CELE_T07C4.8,CELE_T07C4.7	12075352		
KO01368	Caenorhabditis elegans (nematode)	cel_CEOP3668	CELE_M03C11.2,CELE_M03C11.4	12075352		
KO01369	Caenorhabditis elegans (nematode)	cel_CEOP3670	CELE_M03C11.3,CELE_M03C11.5	12075352		
KO01370	Caenorhabditis elegans (nematode)	cel_CEOP3672	CELE_M03C11.6,CELE_M03C11.7,CELE_M03C11.8	12075352		
KO01371	Caenorhabditis elegans (nematode)	cel_CEOP3676	CELE_D2045.6,CELE_D2045.7,CELE_D2045.9	12075352		
KO01372	Caenorhabditis elegans (nematode)	cel_CEOP3678	CELE_F43D9.2,CELE_F43D9.5	12075352		
KO01373	Caenorhabditis elegans (nematode)	cel_CEOP3680	CELE_Y45F3A.2,CELE_Y45F3A.3	12075352		
KO01374	Caenorhabditis elegans (nematode)	cel_CEOP3684	CELE_Y39A1A.1,CELE_Y39A1A.3,CELE_Y45F3A.8,CELE_Y45F3A.9	12075352		
KO01375	Caenorhabditis elegans (nematode)	cel_CEOP3688	CELE_Y39A1A.5,CELE_Y39A1A.6,CELE_Y39A1A.24	12075352		
KO01376	Caenorhabditis elegans (nematode)	cel_CEOP3692	CELE_Y39A1A.12,CELE_Y39A1A.13,CELE_Y39A1A.14	12075352		
KO01377	Caenorhabditis elegans (nematode)	cel_CEOP3696	CELE_Y39A1A.20,CELE_Y39A1A.21	12075352		
KO01378	Caenorhabditis elegans (nematode)	cel_CEOP3700	CELE_K01G5.7,CELE_K01G5.8,CELE_W09D10.1	12075352		
KO01379	Caenorhabditis elegans (nematode)	cel_CEOP3701	CELE_K01G5.2,CELE_K01G5.1,CELE_K01G5.10	12075352		
KO01380	Caenorhabditis elegans (nematode)	cel_CEOP3702	CELE_Y39A1B.3,CELE_K01G5.9	12075352		
KO01381	Caenorhabditis elegans (nematode)	cel_CEOP3704	CELE_Y39A1C.2,CELE_Y39A1C.1	12075352		
KO01382	Caenorhabditis elegans (nematode)	cel_CEOP3708	CELE_M142.5,CELE_M142.6,CELE_Y52D3.1,CELE_M142.8	12075352		
KO01383	Caenorhabditis elegans (nematode)	cel_CEOP3712	CELE_Y48A6B.3,CELE_Y48A6B.5	12075352		
KO01384	Caenorhabditis elegans (nematode)	cel_CEOP3716	CELE_W09D6.1,CELE_Y48A6B.11	12075352		
KO01385	Caenorhabditis elegans (nematode)	cel_CEOP3720	CELE_Y47D3A.4,CELE_Y47D3A.29	12075352		
KO01386	Caenorhabditis elegans (nematode)	cel_CEOP3722	CELE_Y47D3A.25,CELE_Y47D3A.27	12075352		
KO01387	Caenorhabditis elegans (nematode)	cel_CEOP3723	CELE_Y66D12A.8,CELE_Y66D12A.9,CELE_Y66D12A.10	12075352		
KO01388	Caenorhabditis elegans (nematode)	cel_CEOP3724	CELE_Y66D12A.22,CELE_Y66D12A.21	12075352		
KO01389	Caenorhabditis elegans (nematode)	cel_CEOP3728	CELE_Y41C4A.10,CELE_Y41C4A.9	12075352		
KO01390	Caenorhabditis elegans (nematode)	cel_CEOP3732	CELE_Y56A3A.4,CELE_Y56A3A.2	12075352		
KO01391	Caenorhabditis elegans (nematode)	cel_CEOP3736	CELE_Y56A3A.11,CELE_Y56A3A.12	12075352		
KO01392	Caenorhabditis elegans (nematode)	cel_CEOP3738	CELE_Y56A3A.16,CELE_Y56A3A.19	12075352		
KO01393	Caenorhabditis elegans (nematode)	cel_CEOP3740	CELE_Y56A3A.20,CELE_Y56A3A.18	12075352		
KO01394	Caenorhabditis elegans (nematode)	cel_CEOP3744	CELE_Y56A3A.13,CELE_Y56A3A.21,CELE_Y56A3A.22	12075352		
KO01395	Caenorhabditis elegans (nematode)	cel_CEOP3746	CELE_Y56A3A.27,CELE_Y56A3A.28,CELE_Y56A3A.29,CELE_Y56A3A.30	12075352		
KO01396	Caenorhabditis elegans (nematode)	cel_CEOP3748	CELE_Y56A3A.32,CELE_Y56A3A.31	12075352		
KO01397	Caenorhabditis elegans (nematode)	cel_CEOP3750	CELE_Y79H2A.6,CELE_Y79H2A.3	12075352		
