# koid	org	name	op	pmid	definition	source
KO00050	Bradyrhizobium japonicum USDA110	sdhCDAB	blr0512,blr0513,blr0514,blr0515	10419971	succinate dehydrogenase (sdh)	
KO00051	Bordetella pertussis Tohama I	ptx	BP3783,BP3784,BP3785,BP3786,BP3787	8606119  8979346	pertussis toxin	
KO00052	Bordetella pertussis Tohama I	alcABC	BP2456,BP2457,BP2458	9473039	alcaligin siderophore biosynthesis	
KO00053	Bacillus subtilis subsp. subtilis 168	yvoBCDEF	BSU34960,BSU34970,BSU34980,BSU34990,BSU35000	9846746		
KO00054	Bacillus subtilis subsp. subtilis 168	yneABynzC	BSU17860,BSU17870,BSU17880	12581363		
KO00055	Bacillus subtilis subsp. subtilis 168	gabTD	BSU03900,BSU03910	12123465		
KO00056	Bacillus subtilis subsp. subtilis 168	ywfH	BSU37680	12372825		
KO00057	Bacillus subtilis subsp. subtilis 168	gltX	BSU00920	10024179		
KO00058	Bacillus subtilis subsp. subtilis 168	tagAB	BSU35750,BSU35760	9457886 7581998 11882717 10648531		
KO00059	Bacillus subtilis subsp. subtilis 168	citMyflN	BSU07610,BSU07620	10972810 10982810		
KO00060	Bacillus subtilis subsp. subtilis 168	spo0K	BSU11430,BSU11440,BSU11450,BSU11460,BSU11470	9252573		
KO00061	Bacillus subtilis subsp. subtilis 168	rodDC	BSU35720,BSU35730	1712357 2507871		
KO00062	Bacillus subtilis subsp. subtilis 168	spo0B	BSU27920,BSU27930	9443976 2537815		
KO00063	Bacillus subtilis subsp. subtilis 168	rocDEF	BSU40320,BSU40330,BSU40340	9194709 7540694 12634342 10468601		
KO00064	Bacillus subtilis subsp. subtilis 168	fhuBCG	BSU33290,BSU33300,BSU33310	10913070 12354229		
KO00065	Bacillus subtilis subsp. subtilis 168	yumD	BSU32130	11591660		
KO00066	Bacillus subtilis subsp. subtilis 168	ykzBykoL	BSU13320,BSU13330	10671441		
KO00067	Bacillus subtilis subsp. subtilis 168	nusA-infB	BSU16600,BSU16610,BSU16620,BSU16630	8491709		
KO00068	Bacillus subtilis subsp. subtilis 168	gtaB	BSU35670	8126437		
KO00069	Bacillus subtilis subsp. subtilis 168	amtB-glnK	BSU36510,BSU36520	12142436		
KO00070	Bacillus subtilis subsp. subtilis 168	cysH	BSU15570,BSU15580,BSU15590,BSU15600,BSU15610,BSU15620,BSU15630	11004190		
KO00071	Bacillus subtilis subsp. subtilis 168	hutPHUIGM	BSU39340,BSU39350,BSU39360,BSU39370,BSU39380,BSU39390	10746760 8682780 12217662		
KO00072	Bacillus subtilis subsp. subtilis 168	pst	BSU24950,BSU24960,BSU24970,BSU24980,BSU24990	9098050 9680208		
KO00073	Bacillus subtilis subsp. subtilis 168	alsSD	BSU36000,BSU36010	10809684 7685336 10986270 11698370 10986249		
KO00074	Bacillus subtilis subsp. subtilis 168	grpE-yqeV	BSU25430,BSU25440,BSU25450,BSU25460,BSU25470,BSU25480	10383760		
KO00075	Bacillus subtilis subsp. subtilis 168	sdhCAB	BSU28430,BSU28440,BSU28450	3036777 3027051 1324713  3117551		
KO00076	Bacillus subtilis subsp. subtilis 168	dacBspmAB	BSU23170,BSU23180,BSU23190	7642500		
KO00077	Bacillus subtilis subsp. subtilis 168	desKR	BSU19190,BSU19200	12399512		
KO00078	Bacillus subtilis subsp. subtilis 168	rocG	BSU37790	12634342		
KO00079	Bacillus subtilis subsp. subtilis 168	gsiA	BSU12430,BSU12440	1378051		
KO00080	Bacillus subtilis subsp. subtilis 168	cydABCD	BSU38730,BSU38740,BSU38750,BSU38760	9852001		
KO00081	Bacillus subtilis subsp. subtilis 168	rpoE-pyrG	BSU37150,BSU37160	11544212		
KO00082	Bacillus subtilis subsp. subtilis 168	licBCAH	BSU38560,BSU38570,BSU38580,BSU38590	10438772 8990303		
KO00083	Bacillus subtilis subsp. subtilis 168	ecsABC	BSU10040,BSU10050,BSU10060	10027970		
KO00084	Bacillus subtilis subsp. subtilis 168	ccpB	BSU40850,BSU40860,BSU40870,BSU40880	9457849		
KO00085	Bacillus subtilis subsp. subtilis 168	folate	BSU00740,BSU00750,BSU00760,BSU00770,BSU00780,BSU00790,BSU00800,BSU00810,BSU00820	9084182		
KO00086	Bacillus subtilis subsp. subtilis 168	rluB	BSU23160	8631715		
KO00087	Bacillus subtilis subsp. subtilis 168	rpoE	BSU37160	11544212		
KO00088	Bacillus subtilis subsp. subtilis 168	acuABC	BSU29690,BSU29700,BSU29710	11274109		
KO00089	Bacillus subtilis subsp. subtilis 168	bioW	BSU30240			
KO00090	Bacillus subtilis subsp. subtilis 168	azlBCDEF	BSU26680,BSU26690,BSU26700,BSU26710,BSU26720	9287000		
KO00091	Bacillus subtilis subsp. subtilis 168	cotJ	BSU06890,BSU06900,BSU06910	7768848 9364920		
KO00092	Bacillus subtilis subsp. subtilis 168	gerK	BSU03700,BSU03710,BSU03720	12670969		
KO00093	Bacillus subtilis subsp. subtilis 168	hom-thrCB	BSU32240,BSU32250,BSU32260	8768250		
KO00094	Bacillus subtilis subsp. subtilis 168	dnaK	BSU25460,BSU25470,BSU25480,BSU25490	7540247		
KO00095	Bacillus subtilis subsp. subtilis 168	ykuNOP	BSU14150,BSU14160,BSU14170	12354229		
KO00096	Bacillus subtilis subsp. subtilis 168	gapA	BSU33900,BSU33910,BSU33920,BSU33930,BSU33940,BSU33950	12622829 11489127 12622823		
KO00097	Bacillus subtilis subsp. subtilis 168	narGHJI	BSU37250,BSU37260,BSU37270,BSU37280	11698370 9540837 8846791 8682783 9352926		
KO00098	Bacillus subtilis subsp. subtilis 168	atpIBEFHAGDC	BSU36880,BSU36870,BSU36860,BSU36850,BSU36840,BSU36830,BSU36820,BSU36810,BSU36800	11557812		
KO00099	Bacillus subtilis subsp. subtilis 168	mtnKS	BSU13560,BSU13550	11545674		
KO00100	Bacillus subtilis subsp. subtilis 168	yjzAmed	BSU11300,BSU11310	10940045		
KO00101	Bacillus subtilis subsp. subtilis 168	spoVG	BSU00490			
KO00102	Bacillus subtilis subsp. subtilis 168	murEDmraY	BSU15180,BSU15190,BSU15200	11557812		
KO00103	Bacillus subtilis subsp. subtilis 168	bioWAFDBIytbQ	BSU30180,BSU30190,BSU30200,BSU30210,BSU30220,BSU30230,BSU30240	8892842 8763940		
KO00104	Bacillus subtilis subsp. subtilis 168	spoIIA	BSU23450,BSU23460,BSU23470	8460142		
KO00105	Bacillus subtilis subsp. subtilis 168	ytrABCDEF	BSU30410,BSU30420,BSU30430,BSU30440,BSU30450,BSU30460	10986249		
KO00106	Bacillus subtilis subsp. subtilis 168	bglS	BSU39070	11361076		
KO00107	Bacillus subtilis subsp. subtilis 168	speEB	BSU37490,BSU37500	9723923		
KO00108	Bacillus subtilis subsp. subtilis 168	gltXcysES	BSU00920,BSU00930,BSU00940	10024179		
KO00109	Bacillus subtilis subsp. subtilis 168	odhAB	BSU19360,BSU19370	11976317 1508153		
KO00110	Bacillus subtilis subsp. subtilis 168	pucJKLM	BSU32430,BSU32440,BSU32450,BSU32460	12029039		
KO00111	Bacillus subtilis subsp. subtilis 168	acoABCL	BSU08060,BSU08070,BSU08080,BSU08090	11274109		
KO00112	Bacillus subtilis subsp. subtilis 168	yebB	BSU06370	11591660		
KO00113	Bacillus subtilis subsp. subtilis 168	yhdNO	BSU09530,BSU09540	10220166		
KO00114	Bacillus subtilis subsp. subtilis 168	licR	BSU38600	8990303		
KO00115	Bacillus subtilis subsp. subtilis 168	addAB	BSU10620,BSU10630	7746142		
KO00116	Bacillus subtilis subsp. subtilis 168	resABCDErluB	BSU23110,BSU23120,BSU23130,BSU23140,BSU23150,BSU23160	8631715		
KO00117	Bacillus subtilis subsp. subtilis 168	degSU	BSU35490,BSU35500	1688843		
KO00118	Bacillus subtilis subsp. subtilis 168	ctaCDEF	BSU14890,BSU14900,BSU14910,BSU14920	9829923		
KO00119	Bacillus subtilis subsp. subtilis 168	gerA	BSU33050,BSU33060,BSU33070	12670969		
KO00120	Bacillus subtilis subsp. subtilis 168	S10-spc	BSU01150,BSU01160,BSU01170,BSU01180,BSU01190,BSU01200,BSU01210,BSU01220,BSU01230,BSU01240,BSU01250,BSU01260,BSU01270,BSU01280,BSU01290,BSU01300,BSU01310,BSU01320,BSU01330,BSU01340,BSU01350,BSU01360	12162807		
KO00121	Bacillus subtilis subsp. subtilis 168	tnrA	BSU13310	10671441		
KO00122	Bacillus subtilis subsp. subtilis 168	gerB	BSU35800,BSU35810,BSU35820	12670969		
KO00123	Bacillus subtilis subsp. subtilis 168	pucR	BSU32420	12029039		
KO00124	Bacillus subtilis subsp. subtilis 168	dra-nupC-pdp	BSU39400,BSU39410,BSU39420	11065368 10714997 10074062 8550462 9098051		
KO00125	Bacillus subtilis subsp. subtilis 168	spo0A	BSU24220			
KO00126	Bacillus subtilis subsp. subtilis 168	feuABCybbA	BSU01600,BSU01610,BSU01620,BSU01630	12354229		
KO00127	Bacillus subtilis subsp. subtilis 168	sacByveBA	BSU34450,BSU34460,BSU34470	11739774		
KO00128	Bacillus subtilis subsp. subtilis 168	ptsGHI	BSU13890,BSU13900,BSU13910	11902727 10543968 9765562 11491085 11489127		
KO00129	Bacillus subtilis subsp. subtilis 168	kdgRKAT	BSU22090,BSU22100,BSU22110,BSU22120	9846747		
KO00130	Bacillus subtilis subsp. subtilis 168	yyc	BSU40370,BSU40380,BSU40390,BSU40400,BSU40410	9829949		
KO00131	Bacillus subtilis subsp. subtilis 168	ydaP	BSU04340	10220166		
KO00132	Bacillus subtilis subsp. subtilis 168	yciABC	BSU03340,BSU03350,BSU03360	12426338		
KO00133	Bacillus subtilis subsp. subtilis 168	acsA-tyrS	BSU29670,BSU29680	11544212		
KO00134	Bacillus subtilis subsp. subtilis 168	hrcA	BSU25490	10383760		
KO00135	Bacillus subtilis subsp. subtilis 168	ywmF-csbD	BSU36670,BSU36680	10376822		
KO00136	Bacillus subtilis subsp. subtilis 168	accBC	BSU24340,BSU24350	7592499		
KO00137	Bacillus subtilis subsp. subtilis 168	hemAXCDBL	BSU28120,BSU28130,BSU28140,BSU28150,BSU28160,BSU28170	7961402 8012594 1536660		
KO00138	Bacillus subtilis subsp. subtilis 168	araABDLMNOPQabfA	BSU28720,BSU28730,BSU28740,BSU28750,BSU28760,BSU28770,BSU28780,BSU28790,BSU28800	10417639		
KO00139	Bacillus subtilis subsp. subtilis 168	qcr	BSU22540,BSU22550,BSU22560,BSU22540,BSU22550,BSU22560	7592464		
KO00140	Bacillus subtilis subsp. subtilis 168	ptsGH	BSU13890,BSU13900			
KO00141	Bacillus subtilis subsp. subtilis 168	splAB	BSU13920,BSU13930	9323362 10629212 9009064		
KO00142	Bacillus subtilis subsp. subtilis 168	pub-yacF	BSU00740,BSU00750,BSU00760,BSU00770,BSU00780,BSU00790,BSU00800,BSU00810	9084182		
KO00143	Bacillus subtilis subsp. subtilis 168	guaB	BSU06360	1722815		
KO00144	Bacillus subtilis subsp. subtilis 168	bmrUbmrbmrR	BSU24000,BSU24010,BSU24020	10220166		
KO00145	Bacillus subtilis subsp. subtilis 168	ktrC	BSU14510	12562800		
KO00146	Bacillus subtilis subsp. subtilis 168	gcaD-prs-ctc	BSU00500,BSU00510,BSU00520	8522540		
KO00147	Bacillus subtilis subsp. subtilis 168	yxeKLMNOPQ	BSU39460,BSU39470,BSU39480,BSU39490,BSU39500,BSU39510,BSU39520	10746760		
KO00148	Bacillus subtilis subsp. subtilis 168	yxaGH	BSU39970,BSU39980	10746760		
KO00149	Bacillus subtilis subsp. subtilis 168	wpra	BSU10770	9004506		
KO00150	Bacillus subtilis subsp. subtilis 168	mutSL	BSU17040,BSU17050	8760914		
KO00151	Bacillus subtilis subsp. subtilis 168	bglPH	BSU39260,BSU39270	12169607 11491085 10048041 9513271 11361076 7883710 8990303		
KO00152	Bacillus subtilis subsp. subtilis 168	spoIIGAB	BSU15310,BSU15320			
KO00153	Bacillus subtilis subsp. subtilis 168	ktrD	BSU13500	12562800		
KO00154	Bacillus subtilis subsp. subtilis 168	yxkFmmsX	BSU38810,BSU38820	10746760		
KO00155	Bacillus subtilis subsp. subtilis 168	codVWXY	BSU16140,BSU16150,BSU16160,BSU16170	7783641 8682780 11179218		
KO00156	Bacillus subtilis subsp. subtilis 168	guaA	BSU00090	1722815		
KO00157	Bacillus subtilis subsp. subtilis 168	yxjCDEF	BSU38970,BSU38980,BSU38990,BSU39000	10746760		
KO00158	Bacillus subtilis subsp. subtilis 168	kinBkapB	BSU31450,BSU31460	9426145 8576055 8497199		
KO00159	Bacillus subtilis subsp. subtilis 168	pyr	BSU15470,BSU15480,BSU15490,BSU15500,BSU15510,BSU15520,BSU15530,BSU15540,BSU15550,BSU15560	8206848 11726695		
KO00160	Bacillus subtilis subsp. subtilis 168	gntRKPZ	BSU40050,BSU40060,BSU40070,BSU40080	1659648 8932314 9457849		
KO00161	Bacillus subtilis subsp. subtilis 168	ftsAZ	BSU15280,BSU15290	10878122 1569582 1551857		
KO00162	Bacillus subtilis subsp. subtilis 168	metIC	BSU11870,BSU11880	11832514		
KO00163	Bacillus subtilis subsp. subtilis 168	gapA	BSU33940	11489127		
KO00164	Bacillus subtilis subsp. subtilis 168	motAB	BSU13680,BSU13690	8200532		
KO00165	Bacillus subtilis subsp. subtilis 168	rpoDdnaGyqxD	BSU25200,BSU25210,BSU25230			
KO00166	Bacillus subtilis subsp. subtilis 168	bglPHyxiE	BSU39250,BSU39260,BSU39270	10746760		
KO00167	Bacillus subtilis subsp. subtilis 168	drm-pupG	BSU23490,BSU23500	10537218		
KO00168	Bacillus subtilis subsp. subtilis 168	speE	BSU37500	9723923		
KO00169	Bacillus subtilis subsp. subtilis 168	ars	BSU25780,BSU25790,BSU25800,BSU25810	9537360		
KO00170	Bacillus subtilis subsp. subtilis 168	gde	BSU13170,BSU13170	12029039		
KO00171	Bacillus subtilis subsp. subtilis 168	pub-trpG	BSU00740,BSU00750	9084182		
KO00172	Bacillus subtilis subsp. subtilis 168	rib	BSU23240,BSU23250,BSU23260,BSU23270,BSU23280	9068650		
KO00173	Bacillus subtilis subsp. subtilis 168	sigWybbM	BSU01730,BSU01740	9683469		
KO00174	Bacillus subtilis subsp. subtilis 168	sucCD	BSU16090,BSU16100	11976317		
KO00175	Bacillus subtilis subsp. subtilis 168	ureABC	BSU36640,BSU36650,BSU36660	12374841 9287005 9150240		
KO00176	Bacillus subtilis subsp. subtilis 168	pbpB	BSU15130,BSU15140,BSU15150,BSU15160	8636036		
KO00177	Bacillus subtilis subsp. subtilis 168	ywfBCDEFG	BSU37690,BSU37700,BSU37710,BSU37720,BSU37730,BSU37740	12372825		
KO00178	Bacillus subtilis subsp. subtilis 168	nrdEF	BSU17380,BSU17390	8969495		
KO00179	Bacillus subtilis subsp. subtilis 168	ybdABDE	BSU01950,BSU01960,BSU01970,BSU01980	11731129		
KO00180	Bacillus subtilis subsp. subtilis 168	gerC	BSU22740,BSU22750,BSU22760	9720033		
KO00181	Bacillus subtilis subsp. subtilis 168	cwlF	BSU09420	9573210		
KO00182	Bacillus subtilis subsp. subtilis 168	tagDEF	BSU35720,BSU35730,BSU35740	9457886 7581998 1906926 10648531 11882717		
KO00183	Bacillus subtilis subsp. subtilis 168	yxdJK	BSU39650,BSU39660	10746760		
KO00184	Bacillus subtilis subsp. subtilis 168	ydaG	BSU04220	10220166		
KO00185	Bacillus subtilis subsp. subtilis 168	trpEDCFBA	BSU22630,BSU22640,BSU22650,BSU22660,BSU22670,BSU22680	9383185 12161562 11566991 10714985 10482516 9685405		
KO00186	Bacillus subtilis subsp. subtilis 168	narK-fnr	BSU37310,BSU37320	8682783 9352926		
KO00187	Bacillus subtilis subsp. subtilis 168	hbs	BSU22790	1382620		
KO00188	Bacillus subtilis subsp. subtilis 168	ybbB	BSU01640	12354229		
KO00189	Bacillus subtilis subsp. subtilis 168	dnaA-dnaN	BSU00010,BSU00020	11395445		
KO00190	Bacillus subtilis subsp. subtilis 168	sacPA	BSU38040,BSU38050	11491085 1577686 9305764 2163394 7883710		
KO00191	Bacillus subtilis subsp. subtilis 168	cggRgapA	BSU33940,BSU33950	11489127		
KO00192	Bacillus subtilis subsp. subtilis 168	lctEP	BSU03050,BSU03060	11698370		
KO00193	Bacillus subtilis subsp. subtilis 168	hemEHY	BSU10120,BSU10130,BSU10140	7928957		
KO00194	Bacillus subtilis subsp. subtilis 168	pgiyugMN	BSU31330,BSU31340,BSU31350	7592393		
KO00195	Bacillus subtilis subsp. subtilis 168	yvyD	BSU35310	9852014		
KO00196	Bacillus subtilis subsp. subtilis 168	ctaB	BSU14880	9829923		
KO00197	Bacillus subtilis subsp. subtilis 168	mtrBA	BSU22770,BSU22780	1551827 2123343		
KO00198	Bacillus subtilis subsp. subtilis 168	yciC	BSU03360	12426338		
KO00199	Bacillus subtilis subsp. subtilis 168	ptsHI	BSU13900,BSU13910	9323362 2497294 3106335 9765562 10543968		
KO00200	Bacillus subtilis subsp. subtilis 168	glnRA	BSU17450,BSU17460	12142436 7642136 1677938		
KO00201	Bacillus subtilis subsp. subtilis 168	opuEsapB	BSU06650,BSU06660	9701821		
KO00202	Bacillus subtilis subsp. subtilis 168	asnB-ytnA	BSU30540,BSU30530	10498721		
KO00203	Bacillus subtilis subsp. subtilis 168	lepA	BSU25500,BSU25510	8757728		
KO00204	Bacillus subtilis subsp. subtilis 168	dnaA	BSU00010	11395445		
KO00205	Bacillus subtilis subsp. subtilis 168	blt	BSU26590,BSU26600	7608059		
KO00206	Bacillus subtilis subsp. subtilis 168	dltABCDE	BSU38500,BSU38510,BSU38520,BSU38530,BSU38540	7797557		
KO00207	Bacillus subtilis subsp. subtilis 168	adaAB	BSU01810,BSU01820	9455480		
KO00208	Bacillus subtilis subsp. subtilis 168	kipIA	BSU04080,BSU04090	9334321		
KO00209	Bacillus subtilis subsp. subtilis 168	ywsC-ywtABC	BSU35870,BSU35880,BSU35890,BSU35900	11751809		
KO00210	Bacillus subtilis subsp. subtilis 168	ycdHIyceA	BSU02850,BSU02860,BSU02870	12426338 9811636		
KO00211	Bacillus subtilis subsp. subtilis 168	lytD	BSU35780	7934877 7581999		
KO00212	Bacillus subtilis subsp. subtilis 168	yxbBAyxnBasnHyxaM	BSU39890,BSU39900,BSU39910,BSU39920,BSU39930	10746760 10498721		
KO00213	Bacillus subtilis subsp. subtilis 168	ytgABCD	BSU30740,BSU30750,BSU30760,BSU30770	10760146		
KO00214	Bacillus subtilis subsp. subtilis 168	comG	BSU24670,BSU24680,BSU24690,BSU24700,BSU24710,BSU24720,BSU24730	9723928		
KO00215	Bacillus subtilis subsp. subtilis 168	bkd	BSU24030,BSU24040,BSU24050,BSU24060,BSU24070,BSU24080,BSU24090	10094682 12427936		
KO00216	Bacillus subtilis subsp. subtilis 168	iolABCDEFGHIJ	BSU39670,BSU39680,BSU39690,BSU39700,BSU39710,BSU39720,BSU39730,BSU39740,BSU39750,BSU39760	11566986 11807058 10746760		
KO00217	Bacillus subtilis subsp. subtilis 168	ahpCF	BSU40090,BSU40100	8932315 8932314		
KO00218	Bacillus subtilis subsp. subtilis 168	pgi	BSU31350	7592393		
KO00219	Bacillus subtilis subsp. subtilis 168	dnaB	BSU28960,BSU28970,BSU28980,BSU28990	9427839		
KO00220	Bacillus subtilis subsp. subtilis 168	bdbDC	BSU33470,BSU33480	11744713		
KO00221	Bacillus subtilis subsp. subtilis 168	hrcA-dnaK	BSU25470,BSU25480,BSU25490	10383760		
KO00222	Bacillus subtilis subsp. subtilis 168	yckAB	BSU03370,BSU03380	12426338		
KO00223	Bacillus subtilis subsp. subtilis 168	licST	BSU39070,BSU39080	8990303		
KO00224	Bacillus subtilis subsp. subtilis 168	yxaAB	BSU40030,BSU40040	10746760		
KO00225	Bacillus subtilis subsp. subtilis 168	ydaDEFG	BSU04190,BSU04200,BSU04210,BSU04220	10220166		
KO00226	Bacillus subtilis subsp. subtilis 168	yfiY	BSU08440	12354229		
KO00227	Bacillus subtilis subsp. subtilis 168	argC-F	BSU11190,BSU11200,BSU11210,BSU11220,BSU11230,BSU11240,BSU11250	8025667 7511775 7540694		
KO00228	Bacillus subtilis subsp. subtilis 168	levDEFG-sacC	BSU27030,BSU27040,BSU27050,BSU27060,BSU27070	10217795 7592487		
KO00229	Bacillus subtilis subsp. subtilis 168	glyA	BSU36900	11591660		
KO00230	Bacillus subtilis subsp. subtilis 168	mreBCD-minCD	BSU27990,BSU28000,BSU28010,BSU28020,BSU28030	8387996 1400224		
KO00231	Bacillus subtilis subsp. subtilis 168	iolT	BSU06230	11807058		
KO00232	Bacillus subtilis subsp. subtilis 168	deoR-dra-nupC-pdp	BSU39400,BSU39410,BSU39420,BSU39430	10746760		
KO00233	Bacillus subtilis subsp. subtilis 168	tasA-sipW	BSU24620,BSU24630	10368135		
KO00234	Bacillus subtilis subsp. subtilis 168	bglA	BSU40110	8990303		
KO00235	Bacillus subtilis subsp. subtilis 168	dnaJ-yqeV	BSU25430,BSU25440,BSU25450,BSU25460	10383760		
KO00236	Bacillus subtilis subsp. subtilis 168	menBE	BSU30790,BSU30800	1629163		
KO00237	Bacillus subtilis subsp. subtilis 168	yqhZ-folD	BSU24310,BSU24320	11591660		
KO00238	Bacillus subtilis subsp. subtilis 168	lytABC	BSU35620,BSU35630,BSU35640	9158733 1357079		
KO00239	Bacillus subtilis subsp. subtilis 168	asnO	BSU10790	10498721		
KO00240	Bacillus subtilis subsp. subtilis 168	glpD	BSU09300	8436953 1335945		
